frequency,signal_strength,bandwidth,cpu_usage,memory_usage,humidity,precipitation,wifi_strength,disk_usage,wind_speed
433920000,-45,20000,30,40,50,5,-60,20,10
868500000,-52,15000,25,35,45,3,-55,18,8
2450000000,-48,25000,35,45,55,7,-58,22,12
5800000000,-50,30000,28,38,48,4,-62,19,9
145500000,-55,18000,32,42,52,6,-57,21,11
433100000,-47,22000,27,37,47,2,-59,17,7
869850000,-53,16000,33,43,53,8,-61,23,13
120000000,-46,19000,29,39,49,1,-56,16,6
2400000000,-49,27000,31,41,51,9,-63,24,14
5800000000,-51,28000,26,36,46,0,-64,15,5
433920000,-44,21000,34,44,54,10,-65,25,15
868500000,-54,14000,24,34,44,11,-66,14,4
2450000000,-43,26000,36,46,56,12,-67,26,16
5800000000,-52,29000,23,33,43,13,-68,13,3
145500000,-56,17000,37,47,57,14,-69,27,17
433100000,-42,23000,22,32,42,15,-70,12,2
869850000,-57,13000,38,48,58,16,-71,28,18
120000000,-41,24000,21,31,41,17,-72,11,1
2400000000,-58,31000,39,49,59,18,-73,29,19
5800000000,-59,32000,20,30,40,19,-74,10,0
